lambda,n,MSE_ML,SE_ML,MSE_IQR,SE_IQR,MSE_BC,SE_BC
0.1,5,0.006906880534581354,0.0008727717664048706,0.1969030276292593,0.03654019437029339,1737.9764487494667,1708.4824422400345
0.1,30,0.0003880189396150748,1.7516013872667158e-05,0.0012684448811184153,6.439829225784789e-05,0.0013722315283002402,7.272918466241931e-05
0.1,100,0.00010417022018644536,3.5275279379331153e-06,0.0002489726687483127,9.37697602062737e-06,0.00028786075133354776,1.0786598104769789e-05
1.0,5,0.5990947062053297,0.0627380713712106,15.88362079582865,2.820518289274553,2458681.409879966,2442584.9055785346
1.0,30,0.04127746930819052,0.0018481119016583569,0.1359768539500327,0.00870248974054433,0.14373639618403405,0.009787773801347424
1.0,100,0.011280418291040043,0.00040899418537950784,0.025699912168531392,0.0009923888290673255,0.02971981653601015,0.0010868103996502058
10.0,5,56.272565975614306,4.22835613033563,2655.9443946262777,513.7352013308824,344699.8684828356,146446.59869953617
10.0,30,4.162579116569551,0.17610223589443974,11.802718609037209,0.5932837071086311,12.79427584386208,0.6446748952186591
10.0,100,1.060128873632024,0.03752353068359704,2.494463426745433,0.10426182875536633,2.830698787026688,0.11638369043834987
